acronym,meaning
COGMAN,center of gravity of payload manifest
COI,conflict of interest
COIL,chemical oxygen-iodine laser
COIM,checkout interpreter (software) module
COL,checkout language
COLA,cost-of-living adjustment
COM,computer output microfiche
COM,computer output microfilm
COM-M,common mode
COMAS,combined orbital maneuvering and abort system
COMAT,compatibility of materials
COMP,computation of rendezvous targeting
COMPOOL,common data pool
COMPSIM,concept mission performance simulation
COMSAT,communications satellite
CONAD,CONUS defense
CONUS,continental United States
COP,central operations program
COP,co-orbiting platform
COP,coefficients of performance
COP,combined operations plan
COP,contingency operations plan
COQ,certificate of qualification
COR,contracting officer representative
COR,contractor.s operations review
CORA,coherent optical radar amplifier
CORE,common operational research equipment
COS,carry-on oxygen system
COS,checkout station
COS,console operating system
COSATI,Committee on Scientific and Technical Information
COSI,closeout system installation
COSM,checkout servicing and maintenance
COSMIC,Computer Software Management and Information Center
COSPAC,cost/schedule planning and control
COSTA,cost accounting (code)
COT,critical optical technology
COTR,contracting officer's technical representative
COTS,commercial off the shelf
COV,cutoff value
CP,candlepower
CP,computer program
CP,console processor
CP,control panel
CP,control point
CP,coordinated procurement
CP,Cargo Projects Office (KSC)
CP,center of pressure
CP,checkpoint
CP,chemically pure
CP,circular pitch
CP,cold plate
CP,cold-punched
CP,communication processor
CP-PCO,Cargo Projects Program Control Office
CPA,change proposal analyst
CPA,contingency planning aid
CPA,critical path analysis
CPAF,cost plus award fee
CPAR,controlled parts approval
CPC,Cargo Processing Contract (contractor)
CPC,central planning center
CPC,characteristic properties code
CPC,computer program component
CPC,control pressure conditioner
CPCB,Crew Procedures Control Board
CPCEI,computer program contract end item
CPCI,computer program change instruction
CPCI,computer program configuration item
CPCR,computer program change request
CPCR,crew procedure change request (Form 482)
CPD,Crew Procedures Division
CPD,crew passive dosimeter
CPDDS,computer program detail design specification
CPDP,computer program development plan
CPDP,computer program development program
CPDR,contractor's preliminary design review
CPDS,computer program design specification
CPDS,computer program detailed specification
CPDS,computer program development specification
CPDS,crew procedures documentation system
CPE,chief program engineer
CPE,chief project engineer
CPEI,computer program end item
CPES,crew procedures evaluator simulator
CPF,cargo processing facility
CPF,central processing facility
CPF,"controller, power, forward"
CPF,cost per flight
CPFF,cost plus fixed fee
CPFF/IF,cost plus fixed fee/incentive fee
CPG,Change Planning Group
CPG,coarse-pointing gimbal
CPI,consumer price index
CPI,crosspointer indicator
CPIC,Computer Program Integration Contract (contractor)
CPIF,cost plus incentive fee
CPIF/AF,cost plus incentive fee/award fee
CPM,cargo propulsion module
CPM,cell performance monitor
CPM,change proposal manager
CPM,computer program module
CPM,cost and performance measurement
CPM,critical path method
CPMP,crew procedures management plan
CPMP,crew products management plan
CPO,Central Planning Office (MSFC)
CPPS,computer program product specification
CPR,cost performance report
CPR,critical problem report
CPS,coarse pointing system
CPS,critical path schedule
CPSD,cross-power spectral density
CPSE,common payload support equipment
CPSR,contractor's procurement system review
CPSS,cold plate support structure
CPSS,critical phase system software
CPT,cargo processing technician
CPT,computer program tape
CPTA,core propulsion test article
CPU,central processing unit
CPU,command processor unit
CPU,computer printer unit
CPU,computer processing unit
CPV,common pressure vessel
CQDR,critical qualification design review
CQIM,configuration and quality information management
CR,card reader
CR,contractor's response
CR,control room
CR,customer's request
CR,cathode ray
CR,certification request
CR,certification requirement
CR,change record
CR,change request
CR,cold-rolled
CR,communication and radar
CR,configuration review
CRALT,CNES radar altimeter
CRAS,cost reduction alternative study
CRB,Change Review Board
CRB,Concept Review Board
CRB,Configuration Review Board
CRB,Correspondence Review Board
CRC,contractor-recommended code
CRC,cost reduction curve
CRC,cyclic redundancy check
CRD,change request disposition
CRD,cost reporting document
CRDP,certification review data package
CRDP,computer resource development plan
CRERS,crew rescue and equipment retrieval system
CRES,corrosion resistance steel
CRG,Change Review Group
CRG,Correspondence Review Group
CRI,certification requirements index
CRIS,calibration recall and information system
CRIS,connector removal and installation sheet
CRISD,computer resource integration support document
CRISD,computer resources integrated support document
CRISP,computer resources integrated support plan
CRN,cable routing notation
CRN,change review notice
CRN,contract revision number
CRO,cathode-ray oscilloscope
CRP,configuration requirements processing
CRPL,Cosmic Ray Physics Laboratory
CRR,cargo compatibility review
CRR,cargo readiness review
CRR,computer run report
CRR,critical requirements review
CRRES,combined release and radiation effects satellite
CRS,cold-rolled steel
CRS,computer resources support
CRS,Congressional Research Service
CRS,crew rescue system
CRSI,ceramic reusable surface insulation
CRT,cathode-ray tube
CRT,computer response time
CRTU,cryogenic radiator test unit
CRW,control read/write
CS,carbon steel
CS,control segment
CS,core segment
CS,crew simulator
CS,crew station
CS,cross-strapping
CS,current sensor
CS,Spacelab Operations Directorate
CS,cast steel
CS,center section
CS,change status
CS,checkout station
CS,common set
CS,communications system (subsystem)
CS,consumables status
CS,contractor share of variance from target cost
CSA,contract specification amendment
CSA,contractor support area
CSA,cyclic strain attenuator
CSAM,"crinkled, single aluminized Mylar"
CSAP,Control System Analysis Program
CSAT,combined systems acceptance test
CSB,Change Schedule Board
CSB,closely spaced basing
CSB,complex support building
CSC,Computer Sciences Corporation
CSC,computer software component
CSC,computer software configuration
CSC,conical-shaped charge
CSC,contingency support center (CCAFS)
CSC,cosecant computing amplifier
CSC,"cost, schedule, and control"
CSCB,contractor's summary cost breakdown
CSCD,control system command decoder
CSCI,computer software configuration item
CSCI,configuration software computer item
CSCS,central security control system
CSCSAT,commercial synchronous communication satellite
CSD,Chemical Systems Division
CSD,computer system director
CSD,contract start date
CSD,control system development
CSD,Crew Systems Division
CSDD,Control Systems Development Division (JSC)
CSDF,central source data file
CSDL,Charles Stark Draper Laboratory (MIT)
CSDM,Computer System Diagnostic Manual
CSDT,computer software data tape
CSE,common support equipment
CSE,communications systems engineer
CSE,computer support equipment
CSE,configuration switching equipment
CSE,cryostat servicing equipment
CSF,central supply facility
CSF,cost sensitivity factor
CSF,crew storage facility
CSFT,combined subsystem functional test
CSG,Concept Synthesis Group
CSI,coelliptic sequence initiation
CSI,control and structural integrity
CSI,control servo input
CSI,crew software interface
CSI,customer source inspection
CSIR,computer software integration review
CSIR,computer systems (hardware/software) integration review
CSIR,Council of Scientific and Industrial Research
CSIT,CAP system integration test
CSIU,core segment interface unit
CSL,command signal limiter
CSL,computer status light
CSL,critical sequence list
CSM,Cargo System Manual
CSM,command and service module
CSM,command service module
CSM,common support module
CSM,computer status matrix
CSMA/CD/TS,carrier sense multiple access/collision dlot
CSMP,continuous system modeling program
CSMP,control system modeling program
CSN,customer source number
CSO,closely spaced object
CSO,Complex Safety Office
CSOC,Consolidated Space Operations Center
CSOC,Consolidated Support Operations Center
CSOM,Computer System Operator's Manual
CSOP,crew systems operating procedure
CSP,certified special processor
CSPF,critical single-point failure
CSPL,certified special processor list
CSPO,Control Systems Procurement Office
CSPU,core segment processing unit
CSR,certification status report
CSR,check signal return
CSR,check status register
CSR,check status report
CSR,contract status report
CSR,"cost, schedule, and risk"
CSR,crew station review
CSRP,Computer and Software Review Panel
CSS,computer subsystem
CSS,control stick steering
CSS,core segment simulator
CSS,crew safety system
CSSE,control system simulation equipment
CSSR,"cost, schedule status report"
CST,capsule systems test
CST,central standard time
CST,combined systems test
CST,complex safety technician
CST,contract supplemental tooling
CST,crew software trainer
CST,crew station trainer
CST,crew systems trainer (one-g trainer)
CSTA,crew software training aid
CSTAR,continuous stellar-tracking attitude reference
CSTC,Consolidated Space Test Center
CSTS,cryogenic storage and transfer system
CSTU,combined systems test unit
CSU,central switching unit
CT,center tap
CT,central time
CT,compact tension
CT,crawler-transporter
CT,current transformer
CTA,command and telemetry assembly
CTA,controlled thrust assembly
CTC,"camera, timing, and control"
CTC,chief test conductor
CTCI,contract technical compliance inspection
CTCP,configuration test change period
CTCS,central thermal control system
CTDU,cross-link transponder data unit
CTE,central timing equipment
CTE,coefficient of thermal expansion
CTF,commit to flight
CTG,Central Training Group
CTG,commonality task group
CTI,critical transportation item
CTIS,crawler-transporter intercom system
CTL,Canoga Test Laboratory
CTL,combat training launch
CTL,Component Test Laboratory (NASA)
CTL,controller tape location
CTL,critical to launch
CTM,contract technical manager
CTM,crystalline transitional material
CTN,Canton Island
CTN,certification test network
CTP,communications timing procedure
CTP,cyclic time processor
CTPD,Crew Training and Procedures Division (JSC)
CTR,certification test requirement
CTR,certification test review
CTR,contract technical representative
CTRS,component test requirements specification
CTS,Canadian technology satellite
CTS,coordinate transformation system
CTS,change tracking system
CTS,command and telemetry subsystem
CTS,communications and tracking system
CTS,communications technology satellite
CTS,computer test set
CTS,computerized training system
CTS,console test set
CTS,contractor technical service
CTT,command transfer tape
CTU,central timing unit
CTU,command and telemetry unit
CTU,command telemetry unit
CTV,compatibility test van
CU,control unit
CU,crystal unit
CUB,Commonality Usage Board
CUC,computer usage control
CUDS,cumulative data statistics
CUE,command uplink electronics
CUE,command use equipment
CUE,common usage equipment
CUE,communication unit executor
CUF,cross-utilization file
CUI,common usage item
CUI,common user interface
CUIL,common usage item list
CUL,common use list
CUP,commonality usage proposal
CUT,coordinated universal time
CV,carrier vehicle
CV,cryptovariable
CV,Deployable Payloads Operation (KSC CO directorate)
CV,check valve
CV,coefficient of variation
CV,computer vision
CV,Computervision
CV,Computervision (computer-aided design and drafting
CV,configuration verification
CV,conventional vehicle
CV,core vehicle
CVA,Convair Astronautics
CVAD,"converter voltage, ac to dc"
CVAS,configuration verification accounting system
CVD,chemical vapor deposition
CVDA,"converter voltage discrete, ac"
CVE,complete vehicle erector
CVF,circular variable filter
CVI,carbon vapor impregnation
CVI,chemical vapor infiltration
CVI,configuration verification inspection
CVR,change verification record
CVR,configuration verification review
CVRD,converter variable resistance to dc voltage
CVSD,continuous variable slope data
CVT,communications vector table
CVT,concept verification testing
CW,caution and warning
CW,clockwise
CW,command word
CW,continuous wave
CW,continuous waveform
CWA,caution and warning annunciator
CWA,clean work area
CWA,controlled work area
CWBS,contract work breakdown structure
CWE,caution and warning electronics
CWEA,caution and warning electronic assembly
CWEU,caution and warning electronics unit
CWFSP,caution and warning/fire suppression panel
CWG,Commonality Working Group
CWG,Communications Working Group
CWG,constant-wear garment
CWLM,caution and warning limit module
CWS,caution and warning system
CWSU,condensate water servicing unit
CWT,code walk-through
CY,calendar year
CYC,cyclic mission-unique process
CYI,Canary Islands
CZCS,coastal zone color scanner
Cal/OSHA,California Occupational Safety and Health Act
CdT,cadmium telluride
Cf,consequence of failure
CfS,schedule factor
D,density
D,digital
D,discrete
D,drag
D&C,displays and controls
D&CS,displays and controls subsystem
D&D,design and development
D&P,development and production
D&P,drain and purge
D&PA,design and product assurance
D*,normalized detectivity
D/A,decoder activate
D/A,digital to analog
D/C,displays and controls
D/D,digital-digital converter
D/L,data link
D/L,deorbit and landing
D/L,downlink
D/L,downlist
D/P,data pack
D/S,deploy/stow
D/S,descent stage
D/VD,data/voice data
DA,data acquisition
DA,drive assembly (solar array)
DA,Department of the Army
DA,deployed assembly
DA,deployment assembly
DA,dip angle
DA,direct ascent
DA,distribution assembly
DA,double amplitude
DA,drive actuator
DA&D,data acquisition and distribution
DA&E,data analysis and evaluation
DAA,designated approval authority
DAAT,distributed architecture analysis tool
DAB,Defense Acquisition Board
DAB,docking and berthing
DABM,defense against ballistic missiles
DABS,discrete address beacon system
DAC,data acquisition and control
DAC,data acquisition camera
DAC,days after contract
DAC,digital-to-analog converter
DACB,data acquisition control and buffer
DACBU,data acquisition and control buffer unit
DACBU,digital acquisition and control buffer unit
DACP,data acquisition and control processor
DACP,data acquisition control processor
DACP,"data acquisition, control, and processing"
DACS,data acquisition and control system
DACS,digital acquisition and control system
DACT,disposable absorption collection trunk
DAD,data acquisition and distribution
DAD,due at department
DADE,data acquisition and documentation equipment
DADS,dual air density satellite
DAE,data acquisition equipment
DAF,data analysis facility
DAFT,data acquisition frequency table
DAI,deferred acceptance item
DAIS,data avionics information system
DAL,data accession list
DAL,data acquisition list
DAL,data-aided loop
DAM,double-aluminized Mylar
DAMMPS,damping and metal matrix for precision structure
DANASAT,direct-ascent nuclear ASAT
DAP,data acquisition plan
DAP,descent analysis program
DAP,digital autopilot
DAPS,decommutation and processing system
DAR,data-aided receiver
DAR,defense acquisition regulation
DAR,deviation approval request
DAR,digital autopilot requirement
DAR,drawing analysis record
DARCOM,U.S. Army Material Development and Readiness Command
DARPA,Defense Advanced Research Projects Agency
DARPA/LL,DARPA Lincoln Laboratory
DART,director and response tester
DARTS,digital automated radar tracking system
DAS,data acquisition system
DAS,data analysis station
DAS,data automation system
DAS,"design, analysis, and simulation"
DAS,digital address system
DAS,digital avionics system
DASA,dual aerospace servoamplifier
DASD,direct-access storage device
DAT,direct-ascent threat
DAU,data acquisition unit
DAU,digital adapter unit
DAV,data available
DAVL,data available low
DAZE,different-alpha zero-strain E
DB,data base
DB,data buffer
DB,data bus
DB,dead band
DB,design baseline
DB,Disposition Board
DB,distribution box
DB,double-biased
DB,dry bulb
DBA,data base administrator
DBC,data buffer coupler
DBC,data bus control
DBC,data bus coupler
DBC,diameter bolt circle
DBCI,DB with respect to a circular polarized antenna
DBCR,data base change request
DBD,dead band
DBDD,data base design document
DBE,data bus element
DBFN,data bus file number
DBG,data bus group
DBGMP,data bus generation and maintenance package
DBI,data base interface
DBIA,data bus interface adapter
DBIA,data bus isolation amplifier
DBIU,data bus interface unit
DBM,data base management
DBMS,data base management software
DBMS,data base management system
DBN,data bus network
DBP,design baseline program
DBRN,data bank release notice
DBS,data base system
DBS,data bus simulator
DBUR,data bank update request
DBW,data bus wire
DBW,differential ballistic wind
DC,data control
DC,data coordinator
DC,design change
DC,display and control
DC,display coupler
DC,double contact
DC&I,"documentation, control, and integration"
DCA,Defense Communication Agency
DCA,design change authorization
DCA,digital command assembly
DCA,distribution control assembly
DCAA,Defense Contract Audit Agency
DCAR,Design Corrective Action Report
DCARS,data collection and reduction system
DCAS,data collection and analysis system
DCAS,Defense Contract Administration Services
DCASMA,Defense Contract Administration Services Management Area
DCASR,Defense Contract Administration Services Region
DCASR-LA,"Defense Contract Administration Services Region, Los Angeles"
DCB,Data Control Board
DCB,Design Control Board
DCB,drawing configuration baseline
DCC,data computation complex (JSC)
DCC,document control center
DCCU,decommutator conditioning unit
DCCU,digital cluster control unit
DCCU,digital communication and control unit
DCD,design control document
DCD,dual command decoder
DCDS,distributed computing design system
DCE,data and control electronics
DCE,deployable cargo element
DCEA,digital control electronics assembly
DCEP,data collection and evaluation plan
DCF,data control facility
DCIB,data communication input buffer
DCIU,digital control and interface unit
DCL,document change list
DCM,data and configuration management
DCM,data and control management
DCM,DECOM control memory
DCM,decommutator control memory
DCM,direction cosine matrix
DCM,display and control module
DCMB,Development Configuration Management Board
DCN,data change notice
DCN,design change notice
DCN,discontinued component notice
DCN,document change notice
DCN,drawing change notice
DCNP,document change notice proposal
DCO,detailed checkout
DCOP,detailed checkout procedure
DCOP,"displays, controls, and operation procedure"
DCOS,data communication output selector
DCP,data collection platform
DCP,data collection program
DCP,depot condemnation percent
DCP,development concept paper
DCP,development cost plan
DCP,display control program
DCPEI,DEU control program end item
DCPEI,display control program end item
DCR,data change request
DCR,document change review
DCR,DC responsivity
DCR,design certification review
DCR,design change record
DCR,design change request
DCR,design concern report
DCR,disposition of contract request
DCR,document change record
DCR,document change request
DCRR,design change requirement record
DCS,data collection system
DCS,digital command system (subsystem)
DCS,display and control system
DCS,document control system
DCS,dual checkout station
DCS,data communication system
DCS,data conditioning system
DCS,data control system
DCS,data conversion system
DCS,design communication system
DCS,design control specification
DCS,design criteria specification
DCS,detailed checkout specification
DCSP,digital control signal processor
DCSU,digital computer switching unit
DCU,digital computer unit
DCU,display and control unit
DD,data dictionary
DD,NSTS OPS deputy director of NSTS Operations
DD,data display
DD,decoder driver
DD,dedicated display
DD,deep-drawn
DD,deputy director
DD,directives documentation
DD,document director
DD,Mechanical and Facilities Engineering (DE Directorate)
DD&CS,dedicated display and control subsystem
DD&R,data display and review
DD&RR,Data Display and Review Room
DD&T,"design, development, and test"
DD/HH:MM:SS,day/hour:minute:second
DDA,data distribution assembly
DDA,digital differential analyzer
DDAS,digital data acquisition system
DDC,data distribution center
DDC,Defense Documentation Center
DDC,dual diversity comparator
DDD,data definition document
DDD,display decoder drive
DDDL,digital data downlink
DDDS,digital data distribution system
DDDU,display decoder driver unit
DDES,data display expert system
DDHA,digital data-handling assembly
DDI,discrete data input
DDI,discrete digital input
DDL,data base definition language
DDL,data downlink
DDL,display description language
DDL,distributed design language
DDM,data display module
DDM,data display monitoring
DDM,discrete data management
DDM,distributed data manager
DDM,distributed design methodology
DDMS,DOD manager for Space Shuttle support
DDN,defense data network
DDO,discrete data output
DDO,discrete digital output
DDP,data distribution panel
DDP,data distribution plan
DDP,design data package
DDP,design development plan
DDP,digital data processing
DDPC,digital data processing center
DDPC,digital data processing complex
DDPF,dedicated display processing function
DDPS,digital data processing system
DDR,Data Display Room
DDR,data display and review
DDR,design development record
DDR,detail design review
DDS,data display system
DDS,descent design system
DDS,detailed design specification
DDS,documentation distribution system
DDT&E,"design, development, test, and engineering"
DDT&E,"design, development, test, and evaluation"
DDTF,dynamic docking test facility
DDTS,dynamic docking test system
DDU,data display unit
DDU,decommutator distribution unit
DDU,digital display unit
DDU,display driver unit
DE,Design Engineering (KSC directorate)
DE,display electronics
DE,Doppler extractor
DE,double end
DEA,deployed electronics assembly
DEA,digital electronics assembly
DEA,display electronics assembly
DEC,Digital Equipment Corporation
DECA,display/AGAP electronic control assembly
DECL,deliverable equipment checklist
DECL,Direct Energy Conversion Laboratory (JSC)
DECNET,Digital Equipment Corporation network
DECU,data exchange control unit
DEDA,data entry and display assembly
DEE,digital events evaluator
DEF,development and evaluation facility
DEI,"Data Engineering, Incorporated"
DEI,deliverable end item
DEI,design engineering identification
DEI,design engineering inspection
DEI,"design, engineering, and integration"
DEIS,design engineering inspection simulation
DEIS,design evaluation and inspection simulator
DEL,"deorbit, entry, and landing"
DELNI,digital Ethernet local network interconnect
DELOG,design engineering logistics
DELTA,detailed labor and time analysis
DEMP,direct EMP
DEMUX,demultiplexer
DEOSS,demonstration of electro-optical surveillance sensor
DEP,dedicated experienced processor
DEP,deflection error probable
DEP,display electronics package
DER,drawing error report
DES,data exchange system
DESHE,distributed expert system hosting environment
DESPOT,design performance optimization
DET,digital event timer
DET,direct energy transfer
DETA,diethylene triamine
DETEC,defensive technology evaluation code
DETIR,Defensive Technology Information Repository
DEU,digital electronics unit
DEU,display electronics unit
DEU-KYBD,display electronics unit equivalent inputs
DEW,directed-energy weapon
DEW,distant early warning
DF,development flight
DF,development forward
DF,direct flight
DF,direction finder
DF,disassembly facility
DF,double feeder
DF,drawing file
DF,drop forge
DF,Project Management (KSC DE directorate)
DF-SPE-A,Shuttle Project Engineering Office
DF/CMB,data formatter and command monitor bus
DFCS,digital flight control software
DFCS,digital flight control system
DFD,data flow diagram
DFE,data flow engineer
DFE,direction-finding equipment
DFE,distributed framework executive
DFG,diode function generator
DFG,display format generator
DFI,development flight instrumentation
DFI,development flight integration
DFIS,DFI subsystem
DFL,decommutator format load
DFRF,Dryden Flight Research Facility
DFS,directional finding system
DFS,dynamic flight simulator
DFT,design for testability
DG,Data General
DG,data group
DG,data good
DG,display generator
DG,double groove
DGU,digital graphics unit
DGU,display generator unit
DGZ,desired ground zero
DH,decision height
DHA,design hazards analysis
DHE,data handling equipment
DHP,developed horsepower
DHS,discrete horizon sensor
DI,data integrator
DI,desk instruction
DI,discrete input
DI,driving issue
DIA,Defense Intelligence Agency
DID,data item description
DID,defense in depth
DIDS,defense integrated data system
DIDSIM,defense-in-depth simulation
DIDTHT,defense-in-depth threat
DIEU,digital interface electronics unit
DIGIKON,digital control analysis software
DIH,discrete input high
DII,defense industry initiative
DIL,deliverable items list
DIL,discrete input low
DILSA,distributed integrated logistics support analysis
DIM,design impact meeting
DIM,Design Information Manual
DIM,Design Interface Meeting
DINS,defense inertial navigation system
DIP,data integrated plan
DIP,designated inspection point
DIP,detailed integration plan
DIP,display input processor
DIP,display interface processor
DIPEC,Defense Industrial Plant Equipment Center
DIPL,display initial program load
DIPS,dynamic isotope power system
DIR,document information record
DIS,Defense Investigative Service
DIS,defense industrial security
DIS,documentation index system
DISCO,Defense Industrial Security Clearance Office
DISP,dispersive spectrometer
DIT,data ID table
DIT,display index table
DIT,dynamic integrated test
DITMCO,Drive-In Theater Manufacturing Company's wire harness insulation analyzer
DITMO,"development, integration, test, and mission operations"
DIU,data interface unit
DIU,digital interface unit
DK,display keyboard
DKC,design knowledge capture
DL,developed length
DL,development left
DL,downlink
DL,drawing list
DL,Electronics Engineering (KSC DE directorate)
DLAT,destructive lot acceptance testing
DLC,delay line control
DLC,direct lift control
DLH,direct labor hour
DLO,director of launch operations
DLSC,Defense Logistics Service Center
DLSM,data link summary message
DLTR,data link terminal repeater
DLTR,data link transmission repeater
DM,data management
DM,docking mechanism
DM,docking module
DM,data manager
DM,data manual
DM,deformable mirror
DM,delta modulation
DM,design manual
DM,design margin
DM,detached module
DM,development motor
DMA,data management administrator
DMA,data management assembly
DMA,Defense Mapping Agency
DMA,direct memory access
DMA,drive motor assembly
DMC,data management computer
DMC,direct maintenance cost
DMCF,"deservicing, maintenance, and checkout facility"
DMCM,double-density modular core memory
DME,distance measuring equipment
DME,dynamic mission equipment
DMES,dimethylethoxys
DMF,depot maintenance facility
DMG,Data Management Group
DMICB,Daily Mission Integration Control Board
DMIS,data management information system
DML,"developmental instrumentation, MDM left"
DMM,"developmental instrumentation, MDM mid"
DMMH,direct maintenance man-hours
DMON,discrete monitoring
DMOS,diffusive mixing of organic systems
DMP,data management processor
DMP,data merger processor
DMP,DEU message processor
DMPI,desired mean point of impact
DMR,"developmental instrumentation, MDM right"
DMS,data base management system
DMS,data management system (subsystem)
DMS,deliverables management system
DMS,design management system
DMS,docking mechanism subsystem
DMS,docking module system (subsystem)
DMS,DRD management system
DMS,DRL management system
DMS,dynamic motion simulator
DMSIF,DMS Integration Facility
DMSP,Defense Meteorological Satellite Program
DMSS,data management system simulator (CVT)
DMSS,defense meteorological satellite system
DMSSIM,DMS simulation
DN,Department of the Navy
DN,discrepancy notice
DNA,Defense Nuclear Agency
DNA,does not apply
DNC,direct numerical control
DNO,descending-node orbit
DNS,departure nuclear stage
DO,discrete output
DOA,Department of Agriculture
DOAMS,distant-object attitude-measuring system
DOC,Department of Commerce
DOC,direct operating cost
DOC,drift-orbit correction
DOD,Department of Defense
DOD,depth of discharge
DOD-STP,Department of Defense standard satellite
DODI,DOD instruction
DODISS,Department of Defense Index of Specifications and Standards
DOE,Department of Energy
DOF,degree of freedom
DOF,direction of flight
DOH,discrete output high
DOI,descent orbit insertion
DOI,direct orbit insertion
DOL,day of launch
DOL,Department of Labor
DOL,discrete output low
DOM,development operations manager
DOMSAT,domestic satellite
DOP,detailed operating procedure
DORIS,determination of orbit radio positioning integrated from Shuttle (French-supplied dual-frequency receiver)
DOS,digital operation system
DOS,disk operating system
DOT,data output tape
DOT,Department of Transportation
DOT,deployment operations team
DOT/CIAP,DOT climatic impact assessment program
DOVAP,Doppler velocity and position
DOY,day of year
DP,dash pot
DP,diametral pitch
DP,differential pressure
DP,double pole
DP,data processing
DP,data processor
DP,data product
DP,deflection plate
DP,delayed procurement
DP,design proof
DP,development phase
DP,dew point
DP&S,data processing and software
DP&SS,data processing and software subsystem
DP/DT,delta pressure/delta time
DPA,data processing assembly
DPA,destructive physical analysis
DPA,division planning authorization
DPAS,defense priorities and allocation system
DPC,data processing center
DPCL,dedicated payload communication link
DPCS,distributed process construction system
DPD,data procurement document
DPDM,differential pulse-duration modulation
DPDO,Defense Property Disposal Office
DPDS,distributed processing design system
DPDT,"double pole, double throw"
DPG,dual-purpose gyro
DPI,detail program interrelationship
DPM,deputy program manager
DPP,deployment/pointing panel
DPR,definition phase review
DPRS,docking probe retraction system
DPS,data processing and software
DPS,data processing system (subsystem)
DPS,Department of Defense project specification
DPS,descent propulsion system
DPS,digital processing system
DPSD,Data Processing Systems Division
DPSK,differential phase shift keying
DPSS,data processing and software subsystem
DPSS,data processing software system
DPST,"double pole, single throw"
DPT,design proof test
DPU,data processing unit
DPU,digital processing unit
DQPSK,differential quaternary phase shift keying
DR,data register
DR,disposition report
DR,data requester
DR,data requirement
DR,dead reckoning
DR,design review
DR,development right
DR,discrepancy report
DR,dispatch reliability
DR,disposition record
DR&A,data requirements and analysis
DR/MR,discrepancy report/material review
DRA,document release authorization
DRAM,dynamic random access memory
DRAT,data requirements analysis tool
DRB,Design Review Board
DRB,design requirements baseline
DRC,data reduction center
DRC,discrete rate command
DRD,data requirements description
DRD,data requirements document
DRD,design requirements document
DRD,detailed requirements document
DRD,document requirement description
DRF,data request form
DRF,digital radio frequency
DRG,digital ranging generator
DRI,data rate indicator
DRK,display request keyboard
DRL,data requirements list
DRL,document requirements list
DRL,double-rack laboratory
DRM,data records management
DRM,Design Reference Mission
DRM,Design Requirements Manual
DRM,Drafting Room Manual
DRM,Drawing Requirements Manual
DRMR,disposition report on MR
DRO,destructive readout
DRO,document release order
DRR,data recorder or reproducer
DRR,design requirements review
DRRD,design requirements review disposition
DRS,data recording system
DRS,data relay satellite
DRS,data relay station
DRS,digital range safety
DRS,discrepancy report squawk
DRS,donning and recharge system
DRS,dynamic restringing
DRSCS,digital range safety command system
DRSS,data relay satellite system
DRSS,discrepancy report squawk sheet
DRT,deployment readiness test
DRT,design reference trajectory
DRUC,disposition record unsatisfactory condition
DS,data storage
DS,design sheet
DS,docking system
DS&R,data storage and retrieval
DS-RPIE,direct support real property installed equipment
DS3,deep-space surveillance system
DSA,Defense Supply Agency
DSA,demonstration structural article
DSAD,Data Systems and Analysis Directorate (JSC)
DSARC,Defense System Acquisition Review Committee
DSARC,Defense Systems Acquisition Review Council
DSAT,defensive satellite
DSB,document status bulletin
DSB,double side-band
DSC,data separator card
DSC,dedicated signal conditioner
DSC,differential scanning calorimeter
DSCIM,display system computer input multiplexer
DSCN,design and simulator computation network
DSCS,defense satellite communications system
DSCS,defense support communication satellite
DSCU,digital computer switching unit
DSD,defensive shields demonstration
DSDU,data storage distribution unit
DSE,data storage encoder
DSE,data storage equipment
DSE,development support equipment
DSEA,data storage electronics assembly
DSFT,distributed system fault tolerance
DSI,distributed system integration
DSIF,Deep-Space Instrumentation Facility
DSIFE,DSIF equipment
DSIS,defense satellite information system
DSKY,display keyboard
DSL,design specification list
DSM,data system(s) modernization
DSN,data steering network
DSN,deep-space network
DSN,digital switching network
DSN,diminishing source notice
DSO,design secondary objective
DSO,detailed secondary objective
DSO,detailed supplementary objective
DSP,defense support program
DSP,digital signal processing
DSPM,designated subsystem project manager
DSR,data storage and retrieval
DSS,data support system
DSS,DCDS support system
DSS,decision support system
DSS,deep-space station
DSS,deliverable survival shelter
DSS,department summary schedule
DSS,documentation support services
DSSM,dedicated solar sortie mission
DST,defense suppression threat
DST,dimensional special tooling
DSTF,Delta Spin Test Facility
DT,delayed time
DT,double throw
DT,drop tank
DT&E,"development, test, and evaluation"
DT&O,"data, test, and operation"
DTA,daisy testability analyzer
DTA,development test article
DTA,differential thermal analyzer
DTC,design to cost
DTCS,digital test command system
DTCW,data transfer command word
DTE,data transmission equipment
DTE,deliverable test equipment
DTE,digital television equipment
DTF,Development Test Facility (Ford Aerospace)
DTI,development test instrumentation
DTIC,Defense Technical Information Center
DTLCC,design to life cycle cost
DTMO,"development, test, and mission operations"
DTMS,"development, test, and mission support"
DTMS,digital test measurement system
DTMS,digital test monitor system
DTO,design test objective
DTO,detailed test objective
DTP,detailed test plan
DTP,detailed test procedure
DTP,development test plan
DTRD,development test requirements document
DTS,data transfer system
DTS,data transmission system
DTS,Defense Technology Study
DTS,Defensive Technologies Study
DTS,development test sensor
DTSL,Data Transfer Systems Laboratory
DTST,Defense Technology Study Team
